hgnc_symbol	ensembl_gene_id	chromosome_name	origsymbol
7SK	NA	NA	NA	7SK
A1BG	A1BG	ENSG00000121410	19	A1BG
A1BG-AS1	A1BG-AS1	ENSG00000268895	19	A1BG-AS1
AAAS	AAAS	ENSG00000094914	12	AAAS
AACS	AACS	ENSG00000081760	12	AACS
AAED1	NA	NA	NA	AAED1
AAGAB	AAGAB	ENSG00000103591	15	AAGAB
AAK1	AAK1	ENSG00000115977	2	AAK1
AAMDC	AAMDC	ENSG00000087884	11	AAMDC
AAMP	AAMP	ENSG00000127837	2	AAMP
AAR2	AAR2	ENSG00000131043	20	AAR2
AARS	AARS	ENSG00000090861	16	AARS
AARS2	AARS2	ENSG00000124608	6	AARS2
AARSD1	AARSD1	ENSG00000266967	17	AARSD1
AASDH	AASDH	ENSG00000157426	4	AASDH
AASDHPPT	AASDHPPT	ENSG00000149313	11	AASDHPPT
AATF	AATF	ENSG00000276072	CHR_HSCHR17_7_CTG4	AATF
AATK	AATK	ENSG00000181409	17	AATK
AB019440.50	NA	NA	NA	AB019440.50
ABCA2	ABCA2	ENSG00000107331	9	ABCA2
ABCA3	ABCA3	ENSG00000167972	16	ABCA3
ABCA5	ABCA5	ENSG00000154265	17	ABCA5
ABCA7	ABCA7	ENSG00000064687	19	ABCA7
ABCA8	ABCA8	ENSG00000141338	17	ABCA8
ABCB10	ABCB10	ENSG00000135776	1	ABCB10
ABCB6	ABCB6	ENSG00000115657	2	ABCB6
ABCB7	ABCB7	ENSG00000131269	X	ABCB7
ABCB8	ABCB8	ENSG00000197150	7	ABCB8
ABCB9	ABCB9	ENSG00000150967	12	ABCB9
ABCC1	ABCC1	ENSG00000278183	CHR_HSCHR16_1_CTG1	ABCC1
ABCC10	ABCC10	ENSG00000124574	6	ABCC10
ABCC3	ABCC3	ENSG00000108846	17	ABCC3
ABCC4	ABCC4	ENSG00000125257	13	ABCC4
ABCC5	ABCC5	ENSG00000114770	3	ABCC5
ABCD1	ABCD1	ENSG00000101986	X	ABCD1
ABCD3	ABCD3	ENSG00000117528	1	ABCD3
ABCD4	ABCD4	ENSG00000119688	14	ABCD4
ABCE1	ABCE1	ENSG00000164163	4	ABCE1
ABCF1	ABCF1	ENSG00000236342	CHR_HSCHR6_MHC_SSTO_CTG1	ABCF1
ABCF2	ABCF2	ENSG00000285292	7	ABCF2
ABCF3	ABCF3	ENSG00000161204	3	ABCF3
ABHD10	ABHD10	ENSG00000144827	3	ABHD10
ABHD11	ABHD11	ENSG00000106077	7	ABHD11
ABHD12	ABHD12	ENSG00000100997	20	ABHD12
ABHD13	ABHD13	ENSG00000139826	13	ABHD13
ABHD14A	ABHD14A	ENSG00000248487	3	ABHD14A
ABHD14B	ABHD14B	ENSG00000114779	3	ABHD14B
ABHD15	ABHD15	ENSG00000168792	17	ABHD15
ABHD16A	ABHD16A	ENSG00000236063	CHR_HSCHR6_MHC_SSTO_CTG1	ABHD16A
