mgi_symbol	ensembl_gene_id	chromosome_name	origsymbol
0610005C13Rik	0610005C13Rik	ENSMUSG00000109644	7	0610005C13Rik
0610007C21Rik	NA	NA	NA	0610007C21Rik
0610007L01Rik	NA	NA	NA	0610007L01Rik
0610007P08Rik	NA	NA	NA	0610007P08Rik
0610007P14Rik	NA	NA	NA	0610007P14Rik
0610007P22Rik	NA	NA	NA	0610007P22Rik
0610008F07Rik	NA	NA	NA	0610008F07Rik
0610009B14Rik	NA	NA	NA	0610009B14Rik
0610009B22Rik	0610009B22Rik	ENSMUSG00000007777	11	0610009B22Rik
0610009D07Rik	NA	NA	NA	0610009D07Rik
0610009E02Rik	0610009E02Rik	ENSMUSG00000086714	2	0610009E02Rik
0610009L18Rik	0610009L18Rik	ENSMUSG00000043644	11	0610009L18Rik
0610009O20Rik	NA	NA	NA	0610009O20Rik
0610010F05Rik	0610010F05Rik	ENSMUSG00000042208	11	0610010F05Rik
0610010K14Rik	0610010K14Rik	ENSMUSG00000020831	11	0610010K14Rik
0610010O12Rik	NA	NA	NA	0610010O12Rik
0610011F06Rik	NA	NA	NA	0610011F06Rik
0610011L14Rik	NA	NA	NA	0610011L14Rik
0610012D04Rik	0610012D04Rik	ENSMUSG00000089755	17	0610012D04Rik
0610012G03Rik	0610012G03Rik	ENSMUSG00000107002	16	0610012G03Rik
0610012H03Rik	NA	NA	NA	0610012H03Rik
0610025J13Rik	0610025J13Rik	ENSMUSG00000046683	4	0610025J13Rik
0610030E20Rik	0610030E20Rik	ENSMUSG00000108680	CHR_MG184_PATCH	0610030E20Rik
0610031J06Rik	NA	NA	NA	0610031J06Rik
0610037L13Rik	0610037L13Rik	ENSMUSG00000028608	4	0610037L13Rik
0610037P05Rik	NA	NA	NA	0610037P05Rik
0610038L08Rik	NA	NA	NA	0610038L08Rik
0610038P03Rik	NA	NA	NA	0610038P03Rik
0610039K10Rik	0610039K10Rik	ENSMUSG00000058812	2	0610039K10Rik
0610040B09Rik	NA	NA	NA	0610040B09Rik
0610040B10Rik	0610040B10Rik	ENSMUSG00000089889	5	0610040B10Rik
0610040F04Rik	0610040F04Rik	ENSMUSG00000087341	6	0610040F04Rik
0610040J01Rik	0610040J01Rik	ENSMUSG00000060512	5	0610040J01Rik
0610043K17Rik	0610043K17Rik	ENSMUSG00000087361	4	0610043K17Rik
0910001L09Rik	NA	NA	NA	0910001L09Rik
1010001B22Rik	1010001B22Rik	ENSMUSG00000097863	5	1010001B22Rik
1010001N08Rik	1010001N08Rik	ENSMUSG00000097222	18	1010001N08Rik
1100001G20Rik	NA	NA	NA	1100001G20Rik
1110001A16Rik	NA	NA	NA	1110001A16Rik
1110001J03Rik	NA	NA	NA	1110001J03Rik
1110002B05Rik	NA	NA	NA	1110002B05Rik
1110002E22Rik	1110002E22Rik	ENSMUSG00000090066	3	1110002E22Rik
1110002J07Rik	1110002J07Rik	ENSMUSG00000097134	10	1110002J07Rik
1110002L01Rik	1110002L01Rik	ENSMUSG00000071456	12	1110002L01Rik
1110002N22Rik	NA	NA	NA	1110002N22Rik
1110003E01Rik	NA	NA	NA	1110003E01Rik
1110003O08Rik	NA	NA	NA	1110003O08Rik
1110004E09Rik	NA	NA	NA	1110004E09Rik
1110004F10Rik	1110004F10Rik	ENSMUSG00000030663	7	1110004F10Rik
1110005A03Rik	NA	NA	NA	1110005A03Rik
1110006G14Rik	NA	NA	NA	1110006G14Rik
1110007C09Rik	NA	NA	NA	1110007C09Rik
1110008E08Rik	1110008E08Rik	ENSMUSG00000046119	16	1110008E08Rik
1110008F13Rik	NA	NA	NA	1110008F13Rik
1110008J03Rik	NA	NA	NA	1110008J03Rik
1110008L16Rik	1110008L16Rik	ENSMUSG00000021023	12	1110008L16Rik
1110008P14Rik	1110008P14Rik	ENSMUSG00000039195	2	1110008P14Rik
1110012D08Rik	NA	NA	NA	1110012D08Rik
1110012J17Rik	NA	NA	NA	1110012J17Rik
1110012L19Rik	1110012L19Rik	ENSMUSG00000045237	X	1110012L19Rik
1110014N23Rik	NA	NA	NA	1110014N23Rik
1110017D15Rik	1110017D15Rik	ENSMUSG00000028441	4	1110017D15Rik
1110017F19Rik	NA	NA	NA	1110017F19Rik
1110018G07Rik	NA	NA	NA	1110018G07Rik
1110018J18Rik	NA	NA	NA	1110018J18Rik
1110018N20Rik	1110018N20Rik	ENSMUSG00000085151	2	1110018N20Rik
1110019D14Rik	1110019D14Rik	ENSMUSG00000097616	6	1110019D14Rik
1110020A21Rik	1110020A21Rik	ENSMUSG00000097047	17	1110020A21Rik
1110020G09Rik	NA	NA	NA	1110020G09Rik
1110021J02Rik	NA	NA	NA	1110021J02Rik
1110021L09Rik	NA	NA	NA	1110021L09Rik
1110025L11Rik	1110025L11Rik	ENSMUSG00000068073	16	1110025L11Rik
1110028C15Rik	NA	NA	NA	1110028C15Rik
1110028F11Rik	1110028F11Rik	ENSMUSG00000085972	11	1110028F11Rik
1110031I02Rik	NA	NA	NA	1110031I02Rik
1110032A03Rik	1110032A03Rik	ENSMUSG00000037971	9	1110032A03Rik
1110032A04Rik	NA	NA	NA	1110032A04Rik
1110032F04Rik	1110032F04Rik	ENSMUSG00000046999	3	1110032F04Rik
1110034A24Rik	NA	NA	NA	1110034A24Rik
1110034B05Rik	NA	NA	NA	1110034B05Rik
1110034G24Rik	NA	NA	NA	1110034G24Rik
1110035H17Rik	1110035H17Rik	ENSMUSG00000099098	7	1110035H17Rik
1110035M17Rik	NA	NA	NA	1110035M17Rik
