ensembl_gene_id	chromosome_name
YDL248W	YDL248W	IV
YDL247W.A	YDL247W.A	NA
YDL247W	YDL247W	IV
YDL246C	YDL246C	IV
YDL245C	YDL245C	IV
YDL244W	YDL244W	IV
YDL243C	YDL243C	IV
YDL242W	YDL242W	IV
YDL241W	YDL241W	IV
YDL240C.A	YDL240C.A	NA
YDL240W	YDL240W	IV
YDL239C	YDL239C	IV
YDL238C	YDL238C	IV
YDL237W	YDL237W	IV
YDL236W	YDL236W	IV
YDL235C	YDL235C	IV
YDL234C	YDL234C	IV
YDL233W	YDL233W	IV
YDL232W	YDL232W	IV
YDL231C	YDL231C	IV
YDL230W	YDL230W	IV
YDL229W	YDL229W	IV
YDL228C	YDL228C	IV
YDL227C	YDL227C	IV
YDL226C	YDL226C	IV
YDL225W	YDL225W	IV
YDL224C	YDL224C	IV
YDL223C	YDL223C	IV
YDL222C	YDL222C	IV
YDL221W	YDL221W	IV
YDL220C	YDL220C	IV
YDL219W	YDL219W	IV
YDL218W	YDL218W	IV
YDL217C	YDL217C	IV
YDL216C	YDL216C	IV
YDL215C	YDL215C	IV
YDL214C	YDL214C	IV
YDL213C	YDL213C	IV
YDL212W	YDL212W	IV
YDL211C	YDL211C	IV
YDL210W	YDL210W	IV
YDL209C	YDL209C	IV
YDL208W	YDL208W	IV
YDL207W	YDL207W	IV
YDL206W	YDL206W	IV
YDL205C	YDL205C	IV
YDL204W	YDL204W	IV
YDL203C	YDL203C	IV
YDL202W	YDL202W	IV
YDL201W	YDL201W	IV
YDL200C	YDL200C	IV
YDL199C	YDL199C	IV
YDL198C	YDL198C	IV
YDL197C	YDL197C	IV
YDL196W	YDL196W	IV
YDL195W	YDL195W	IV
YDL194W	YDL194W	IV
YDL193W	YDL193W	IV
YDL192W	YDL192W	IV
YDL191W	YDL191W	IV
YDL190C	YDL190C	IV
YDL189W	YDL189W	IV
YDL188C	YDL188C	IV
YDL187C	YDL187C	IV
YDL186W	YDL186W	IV
YDL185C.A	YDL185C.A	NA
YDL185W	YDL185W	IV
YDL184C	YDL184C	IV
YDL183C	YDL183C	IV
YDL182W	YDL182W	IV
YDL181W	YDL181W	IV
YDL180W	YDL180W	IV
YDL179W	YDL179W	IV
YDL178W	YDL178W	IV
YDL177C	YDL177C	IV
YDL176W	YDL176W	IV
YDL175C	YDL175C	IV
YDL174C	YDL174C	IV
YDL173W	YDL173W	IV
YDL172C	YDL172C	IV
YDL171C	YDL171C	IV
YDL170W	YDL170W	IV
YDL169C	YDL169C	IV
YDL168W	YDL168W	IV
YDL167C	YDL167C	IV
YDL166C	YDL166C	IV
YDL165W	YDL165W	IV
YDL164C	YDL164C	IV
YDL163W	YDL163W	IV
YDL162C	YDL162C	IV
YDL161W	YDL161W	IV
YDL160C.A	YDL160C.A	NA
YDL160C	YDL160C	IV
YDL159W.A	YDL159W.A	NA
YDL159W	YDL159W	IV
YDL159C.B	YDL159C.B	NA
YDL158C	YDL158C	IV
YDL157C	YDL157C	IV
YDL156W	YDL156W	IV
YDL155W	YDL155W	IV
YDL154W	YDL154W	IV
YDL153C	YDL153C	IV
YDL152W	YDL152W	IV
YDL151C	YDL151C	IV
YDL150W	YDL150W	IV
YDL149W	YDL149W	IV
YDL148C	YDL148C	IV
YDL147W	YDL147W	IV
YDL146W	YDL146W	IV
YDL145C	YDL145C	IV
YDL144C	YDL144C	IV
YDL143W	YDL143W	IV
YDL142C	YDL142C	IV
YDL141W	YDL141W	IV
YDL140C	YDL140C	IV
YDL139C	YDL139C	IV
YDL138W	YDL138W	IV
YDL137W	YDL137W	IV
YDL136W	YDL136W	IV
YDL135C	YDL135C	IV
YDL134C	YDL134C	IV
YDL133C.A	YDL133C.A	NA
YDL133W	YDL133W	IV
YDL132W	YDL132W	IV
YDL131W	YDL131W	IV
